Issue Number,FR-ID,Description,Log Date,Status,Remarks,How to Retest
BUG-012,SEC-012,No login rate limiting — no brute-force protection on auth login attempts,6/4/2026,Fixed,"Verified: MAX_ATTEMPTS=5 with escalating lockout in auth-service.ts L26-55; UI countdown in LoginPage.tsx L13-32",Attempt 20+ rapid login attempts with wrong password. Verify lockout or rate limiting engages.
BUG-013,SEC-013,Dialog handlers expose raw Electron dialog API without sanitization — dialog-handlers.ts allows renderer to control all dialog options,6/4/2026,Fixed,"Verified: sanitizeOptions() + BLOCKED_PROPERTIES in dialog-handlers.ts L12-32",Review dialog-handlers.ts. Verify options are whitelisted rather than passed through directly.
BUG-014,SEC-014,AuthContext has no token expiry handling — AuthContext.tsx stores token with no expiration or refresh mechanism,6/4/2026,Fixed,"Verified: uses in-memory flag (not token) — session clears on close, no persistent token to expire",Let app sit idle for extended period. Attempt an action. Verify proper redirect to login on expired token.
BUG-015,SEC-015,No logout on app/window close — AuthContext.tsx doesn't clean up session on close,6/4/2026,Fixed,"Verified: clearSession() called in window-all-closed handler in index.ts L176",Close the app without logging out. Reopen. Verify user must re-authenticate.
BUG-016,LOG-001,Missing error handling in database connection — connection.ts has no try-catch around new Database() call,6/4/2026,Fixed,"Verified: try-catch around new Database() in connection.ts L45-54","Corrupt the SQLite file or make it read-only. Launch app. Verify graceful error message instead of crash."
BUG-017,LOG-002,No global error handler — main index.ts missing process.on('uncaughtException') and process.on('unhandledRejection'),6/4/2026,Fixed,"Verified: process.on('uncaughtException') and process.on('unhandledRejection') in index.ts L15-31",Trigger an unhandled promise rejection in main process. Verify it is caught and logged rather than crashing.
BUG-018,LOG-003,Cascade deletes cause mass data loss — 001_initial_schema.sql uses ON DELETE CASCADE on semesters → schedule_entries and calendar_events,6/4/2026,Fixed,"Verified: uses soft-delete (archived_at) pattern via migration 002; delete confirmations show cascade warnings in UI",Delete a semester that has schedule entries. Verify entries are deleted. This should warn the user first.
BUG-019,LOG-004,"Missing unique constraints — personnel table has no unique constraint on employee_id, rooms table has no unique on room_name per department",6/4/2026,Fixed,"Verified: DUPLICATE_EMPLOYEE_ID, DUPLICATE_ROOM_CODE, DUPLICATE_SECTION_CODE enforced in respective service files",Create two personnel with the same employee_id. Verify duplicates are prevented.
BUG-020,LOG-005,Conflict detector doesn't handle overnight schedules — time overlap detection fails for schedules crossing midnight (e.g. 23:00-01:00),6/4/2026,New,"Open: timesOverlap() in conflict-detector.ts does not handle midnight-crossing intervals",Create a schedule entry from 23:00 to 01:00. Create another from 00:00 to 02:00 in the same room. Verify conflict is detected.
BUG-021,LOG-006,Recurrence expander has no upper limit — recurrence-expander.ts can generate thousands of entries with no max iteration cap,6/4/2026,Fixed,"Verified: MAX_RECURRENCE_OCCURRENCES = 200 in recurrence-expander.ts L94 and schedule-entry-service.ts L116-118",Create a daily recurring event spanning 10 years. Verify the app sets a reasonable upper limit.
BUG-022,LOG-007,Publish service lacks concurrency control — publish-service.ts has no locking; double-click can create duplicate published records,6/4/2026,Fixed,"Verified: frontend uses isSubmitting state to disable publish button during async operation; backend uses db.transaction() for atomicity",Rapidly click the publish button twice. Verify only one publish operation completes.
BUG-023,LOG-008,Calendar event service missing date validation — calendar-event-service.ts doesn't validate end_date > start_date,6/4/2026,Fixed,"Verified: startDate > endDate check in calendar-event-service.ts L83-85",Create a calendar event where end_date is before start_date. Verify rejection with error message.
BUG-024,LOG-009,Academic year service allows overlapping years — academic-year-service.ts has no overlap check for date ranges,6/4/2026,Fixed,"Verified: overlap detection query in academic-year-service.ts L62-70",Create two academic years with overlapping date ranges. Verify the second is rejected.
BUG-025,LOG-010,Settings service uses JSON.parse without try-catch — settings-service.ts can throw unhandled exception on corrupted JSON values,6/4/2026,Fixed,"Verified: settings service stores plain strings, no JSON.parse used on setting values",Manually edit a JSON setting value to invalid JSON in the DB. Load settings. Verify graceful error.
BUG-026,LOG-011,Active term service missing existence validation — active-term-service.ts doesn't verify semester ID exists before setting as active,6/4/2026,New,"Open: active-term-service.ts returns null when semester not found but does not throw explicit validation error",Call setActiveTerm with a non-existent semester ID. Verify the app rejects it.
BUG-027,LOG-012,Schedule entry service missing time format validation — schedule-entry-service.ts doesn't validate HH:MM format or start < end,6/4/2026,Fixed,"Verified: start_time >= end_time check + midnight spanning check in schedule-entry-service.ts L377-386",Create a schedule entry with start_time '25:99' or start_time after end_time. Verify rejection.
BUG-028,LOG-013,Template service doesn't validate JSON structure — template-service.ts stores schedule data as JSON without schema validation,6/4/2026,New,"Open: template-service.ts applyTemplate() copies entries without validating resolved references exist",Manually corrupt a template's JSON data in DB. Apply the template. Verify graceful error handling.
BUG-029,LOG-014,Room service allows negative/zero capacity — room-service.ts doesn't validate capacity is a positive integer,6/4/2026,Fixed,"Verified: capacity < 1 and capacity > 10000 checks in room-service.ts L91-96; client-side validation in RoomsPage.tsx L33-36",Create a room with capacity 0 or -1. Verify rejection.
BUG-030,LOG-015,Semester service missing term order validation — semester-service.ts allows duplicate order values within same academic year,6/4/2026,Fixed,"Verified: DUPLICATE_SEMESTER_TYPE check in semester-service.ts L43-48",Create two semesters with the same order value in one academic year. Verify prevention.
BUG-031,LOG-016,Section service doesn't validate max_students — section-service.ts allows unreasonable values,6/4/2026,New,"Open: section-service.ts has no bounds check on student_count",Create a section with max_students=0 or max_students=999999. Verify reasonable bounds enforced.
BUG-032,LOG-017,Backup service uses synchronous file operations — backup-service.ts uses fs.copyFileSync and fs.mkdirSync blocking main thread,6/4/2026,Fixed,"Verified: uses async copyFile, mkdir, readdir from fs/promises in backup-service.ts L7",Backup a large database file. Verify the UI remains responsive during backup.
BUG-033,LOG-018,Backup service has no integrity verification — no PRAGMA integrity_check after backup copy,6/4/2026,Fixed,"Verified: verifyIntegrity() runs PRAGMA integrity_check in backup-service.ts L46-57",Create a backup. Verify the backup file is validated (e.g. via PRAGMA integrity_check).
BUG-034,LOG-019,No database connection cleanup on crash — connection.ts has no handling for unexpected process termination leaving WAL inconsistent,6/4/2026,Fixed,"Verified: closeDatabase() in finally block (connection.ts L86-88); WAL mode handles crash recovery natively",Force-kill the app process. Reopen. Verify database is intact and WAL is recovered.
BUG-035,LOG-020,Import handlers don't use transactions consistently — import-handlers.ts partial import leaves inconsistent data on failure,6/4/2026,Fixed,"Verified: db.transaction() wraps entire import commit in import-handlers.ts L136-209",Import a CSV with a valid row followed by an invalid row. Verify the valid row is NOT committed (transaction rollback).
BUG-036,LOG-021,Import handlers accept large files without size limits — import-handlers.ts reads entire file into memory with no size check before read,6/4/2026,Fixed,"Verified: IMPORT_MAX_FILE_SIZE (5MB) check before read in import-handlers.ts L89-92",Attempt to import a 500MB CSV file. Verify a file size limit is enforced before reading.
BUG-037,LOG-022,"CSV parser uses naive line.split(',') — import-handlers.ts doesn't handle quoted fields with commas",6/4/2026,Fixed,"Verified: uses papaparse library in import-handlers.ts L2 and L31 — handles quoted fields correctly",Import a CSV file with commas inside quoted fields. Verify fields are parsed correctly.
BUG-038,LOG-023,Personnel import update is a no-op — import-handlers.ts increments updated counter but performs no UPDATE SQL for existing records,6/4/2026,Fixed,"Verified: UPDATE personnel SET ... SQL present in import-handlers.ts L155-157",Import a CSV with existing employee_ids and changed data. Verify the data is actually updated in the database.
BUG-039,LOG-024,Sections import creates duplicates unconditionally — import-handlers.ts always INSERTs with no dedup check on section_code,6/4/2026,Fixed,"Verified: checks section_code + academic_year_id + semester_id before insert in import-handlers.ts L167",Import a sections CSV twice. Verify duplicates are prevented on second import.
BUG-040,LOG-025,Calendar events import also creates duplicates unconditionally — import-handlers.ts has no dedup check,6/4/2026,Fixed,"Verified: checks title + start_datetime + end_datetime before insert in import-handlers.ts L180",Import a calendar events CSV twice. Verify duplicates are prevented on second import.
BUG-041,LOG-026,"Missing IPC handlers for 3 defined channels — ROOMS_GET_SCHEDULE, SECTIONS_GET_SCHEDULE, PERSONNEL_GET_SCHEDULE have no handlers registered",6/4/2026,Fixed,"Verified: schedule-query-handlers.ts registers all three handlers for ROOMS_GET_SCHEDULE, SECTIONS_GET_SCHEDULE, PERSONNEL_GET_SCHEDULE",Call window.api.getRoomSchedule() from renderer. Verify it returns data instead of hanging/failing.
BUG-042,LOG-027,"Delete handlers don't await async service calls — personnel, room, section, calendar event delete handlers return success before operation completes",6/4/2026,Fixed,"Verified: handler registrations use async and registry awaits results in registry.ts L50",Delete a personnel record. Add console logging to service. Verify the handler awaits the service result.
BUG-043,LOG-028,Logo stored with hardcoded .png extension regardless of actual format — logo-handlers.ts always uses institution-logo.png even for JPG/SVG uploads,6/4/2026,Fixed,"Verified: detectImageType() uses magic bytes and stores with correct extension in logo-handlers.ts L12-31 and L65",Upload a .jpg logo file. Verify it displays correctly (not corrupted) in the app.
BUG-044,LOG-029,Backup restore handler ignores arguments — backup-handlers.ts handler signature discards any arguments passed from preload API,6/4/2026,Fixed,"Verified: handler uses dialog to pick file in backup-handlers.ts L8; args correctly ignored by design",Review backup-handlers.ts restore handler. Verify arguments align with preload API contract.
BUG-045,LOG-030,deleteAutoBackup not awaited — backup-handlers.ts calls async delete without await then returns success immediately,6/4/2026,Fixed,"Verified: handler uses await backupService.deleteAutoBackup() in backup-handlers.ts L22",Delete an auto-backup. Verify the file is actually deleted before success is returned.
BUG-046,LOG-031,Export section schedule uses LIKE pattern that can produce false positive matches — export-handlers.ts matches section IDs within comma-separated string,6/4/2026,Fixed,"Verified: delimiter-bounded matching used in export-handlers.ts L557-558",Create sections with IDs like 'abc' and 'xabc'. Export. Verify only correct section data is included.
BUG-047,LOG-032,Import CSV header validation is BOM-sensitive — import-handlers.ts doesn't strip BOM from uploaded files,6/4/2026,Fixed,"Verified: stripBom() function in import-handlers.ts L25-27, called at L95",Export a CSV from Excel (which adds BOM). Import it. Verify headers are recognized correctly.
BUG-048,LOG-033,parseInt without radix in import handler — import-handlers.ts uses parseInt() without base 10 parameter,6/4/2026,Fixed,"Verified: uses parseInt(value, 10) throughout import-handlers.ts",Import a CSV with capacity value '0x10'. Verify it is parsed as invalid rather than 16.
BUG-049,LOG-034,Export toCsv doesn't handle carriage returns — export-handlers.ts checks for \\n but not \\r or \\r\\n,6/4/2026,Fixed,"Verified: toCsv() checks for \n and \r and quotes accordingly in export-handlers.ts L17",Create a record with \\r\\n in a text field. Export to CSV. Verify the CSV is properly formatted.
BUG-050,LOG-035,Setup handler runs migrations and settings non-atomically — setup-handlers.ts can leave partially set up state if settings fail after migrations succeed,6/4/2026,Fixed,"Verified: db.transaction() wraps migrations + settings in setup-handlers.ts L59-77",Simulate a failure in setSettings after migrations. Verify the app can recover or rollback.
BUG-051,LOG-036,Synchronous bcrypt in setup handler blocks main thread — setup-handlers.ts uses bcrypt.hashSync which freezes UI for ~100-200ms,6/4/2026,Fixed,"Verified: uses await bcrypt.hash() (async) in setup-handlers.ts L55 and auth-service.ts L102/L136",Run setup with a high bcrypt cost. Verify the UI remains responsive (use async bcrypt.hash).
BUG-052,LOG-037,Export handlers use synchronous writeFileSync on main thread — export-handlers.ts blocks UI during large exports,6/4/2026,Fixed,"Verified: uses async writeFile from fs/promises in export-handlers.ts L5 and L36",Export a large dataset. Verify the UI remains responsive during export.
BUG-053,LOG-038,Dashboard statistics not refreshed on navigation — DashboardPage.tsx fetches stats once on mount only,6/4/2026,Fixed,"Verified: useEffect([department]) re-fetches all stats on department change in DashboardPage.tsx L32-64; remounts on navigation via React Router",Add personnel from PersonnelPage. Navigate to Dashboard. Verify count is updated.
BUG-054,UX-001,No React Error Boundary — App.tsx has no error boundary; any unhandled component error crashes entire app to white screen,6/4/2026,Fixed,"Verified: <ErrorBoundary> wraps entire app in App.tsx L91 with ErrorBoundary.tsx component",Introduce a deliberate error in a child component. Verify an error boundary catches it and shows fallback UI.
BUG-055,UX-002,No loading/splash screen on app start — App.tsx shows blank/flickering screen during auth check and DB initialization,6/4/2026,Fixed,"Verified: LoadingSkeleton shown during auth check in App.tsx L39-41",Cold-start the app. Observe if a loading indicator is shown during initialization.
BUG-056,UX-003,Login page missing form validation — LoginPage.tsx allows empty username/password submission with no inline errors,6/4/2026,Fixed,"Verified: required attribute on password input + disabled={!password} on submit button in LoginPage.tsx L113/L139","Submit the login form with empty fields. Verify inline validation errors appear."
BUG-057,UX-004,Login page missing password visibility toggle — LoginPage.tsx has no show/hide toggle for password input,6/4/2026,Fixed,"Verified: showPassword toggle with eye icon in LoginPage.tsx L116-133",Check the login form for a password visibility toggle icon/button.
BUG-058,UX-005,Dashboard has no empty state — DashboardPage.tsx shows empty cards when no academic year or semester is active,6/4/2026,Fixed,"Verified: 'No active term set. Go to Academic Years to set one.' empty state message in DashboardPage.tsx L88",Open dashboard with no data configured. Verify a helpful empty state message is shown.
BUG-059,UX-006,Schedule page missing loading indicator — SchedulePage.tsx shows blank content during data fetch,6/4/2026,Fixed,"Verified: loading state with 'Loading...' indicator in SchedulePage.tsx L449",Navigate to schedule page with slow network/DB. Verify a loading spinner or skeleton is shown.
BUG-060,UX-007,Schedule page no confirmation for delete — SchedulePage.tsx deletes entries immediately on click with no confirmation dialog or undo,6/4/2026,Fixed,"Verified: confirm() dialog with danger variant in SchedulePage.tsx L185-191",Click delete on a schedule entry. Verify a confirmation dialog appears before deletion.
BUG-061,UX-008,Schedule page conflict warnings not prominent — SchedulePage.tsx shows conflicts as small text items,6/4/2026,Fixed,"Verified: color-coded severity badges (red=HARD, amber=SOFT) in table L481-482 and full conflict panel in form L287-295",Create a conflicting schedule. Verify the conflict is prominently displayed.
BUG-062,UX-009,Personnel page missing search/filter — PersonnelPage.tsx has no search bar or filter options,6/4/2026,Fixed,"Verified: search input with onChange handler in PersonnelPage.tsx L74; passes search param to listPersonnel API",Navigate to personnel page with many entries. Verify search by name/ID and filter by department are available.
BUG-063,UX-010,Personnel page no confirmation for delete — PersonnelPage.tsx deletes immediately with no dialog; cascade-deletes associated schedules,6/4/2026,Fixed,"Verified: confirm() dialog with cascadeInfo warning in PersonnelPage.tsx L47-55",Click delete on a personnel record. Verify a confirmation dialog with cascade warning appears.
BUG-064,UX-011,Personnel page missing pagination — PersonnelPage.tsx loads all records at once,6/4/2026,New,"Open: PersonnelPage.tsx renders all records without pagination or virtual scrolling",Load the personnel page with 500+ records. Verify pagination or virtual scrolling is present.
BUG-065,UX-012,Rooms page no confirmation for delete — RoomsPage.tsx deletes immediately with no dialog,6/4/2026,Fixed,"Verified: confirm() dialog with cascadeInfo in RoomsPage.tsx L51-59",Click delete on a room. Verify a confirmation dialog appears.
BUG-066,UX-013,"Rooms page missing capacity validation — RoomsPage.tsx accepts negative, zero, or non-numeric capacity values",6/4/2026,Fixed,"Verified: client-side validation 1-10000 in RoomsPage.tsx L33-36 + min/max on input L92",Enter capacity of -5 in room form. Verify rejection with validation message.
BUG-067,UX-014,Sections page no confirmation for delete — SectionsPage.tsx deletes immediately with no dialog,6/4/2026,Fixed,"Verified: confirm() dialog with cascadeInfo in SectionsPage.tsx L46-54",Click delete on a section. Verify confirmation dialog appears.
BUG-068,UX-015,Academic years page missing date validation — AcademicYearsPage.tsx doesn't validate end_date > start_date,6/4/2026,Fixed,"Verified: backend validates date order in academic-year-service.ts; server error displayed in UI via error state in AcademicYearsPage.tsx L59",Create an academic year with end_date before start_date. Verify rejection with error message.
BUG-069,UX-016,Academic years page no confirmation for delete — AcademicYearsPage.tsx — most destructive single action in app with no warning,6/4/2026,Fixed,"Verified: confirm() dialog with semester count and cascade impact warning in AcademicYearsPage.tsx L86-97",Click delete on an academic year. Verify a confirmation dialog with cascade impact warning appears.
BUG-070,UX-017,Calendar page missing event color coding — CalendarPage.tsx shows all events the same way with no visual differentiation,6/4/2026,Fixed,"Verified: typeColors object with per-type colors (HOLIDAY=red, EXAM_PERIOD=purple, BREAK=blue, etc.) in CalendarPage.tsx L50",Create events of different types. Verify they are visually differentiated by color.
BUG-071,UX-018,Calendar page missing drag-and-drop — CalendarPage.tsx only allows editing via form/dialog,6/4/2026,New,"Open: feature request — calendar is a list/table view, drag-and-drop requires a full calendar UI library",Try to drag a calendar event to a new date/time. Verify drag-and-drop is supported.
BUG-072,UX-019,Audit page missing date range filter — AuditPage.tsx loads all entries with no filtering capability,6/4/2026,New,"Open: AuditPage.tsx has entity_type and action filters but no date_from/date_to filter inputs (backend queryAuditLog supports date_from/date_to)",Navigate to audit page. Verify date range picker and entity type filters are available.
BUG-073,UX-020,Audit page missing pagination — AuditPage.tsx loads all entries at once,6/4/2026,Fixed,"Verified: full pagination with prev/next buttons + page count in AuditPage.tsx L71-77; pageSize=25",Load audit page with 1000+ entries. Verify pagination or virtual scrolling is present.
BUG-074,UX-021,Exams page appears incomplete/stub — ExamsPage.tsx (~4.4KB) looks minimally implemented compared to other pages,6/4/2026,Fixed,"Verified: ExamsPage.tsx is 373 lines with full CRUD, conflict display, publish/unpublish, export Excel, and subject_code/units fields",Navigate to exams page. Verify full exam scheduling workflow is functional.
BUG-075,UX-022,Import page no preview before import — ImportPage.tsx doesn't show data preview before committing,6/4/2026,Fixed,"Verified: preview table with headers, rows (first 10), row count, and explicit Commit button in ImportPage.tsx L59-82",Upload a CSV file for import. Verify a preview table with mapping options is shown before committing.
BUG-076,UX-023,Import page no progress indicator — ImportPage.tsx shows no progress during file import,6/4/2026,Fixed,"Verified: loading state with 'Processing...' and 'Importing...' indicators on buttons in ImportPage.tsx L52/L64",Import a large CSV file. Verify a progress bar or status updates are shown.
BUG-077,UX-024,Import page no error report — ImportPage.tsx shows generic success/failure message with no per-row error detail,6/4/2026,Fixed,"Verified: detailed error report with per-row errors list in ImportPage.tsx L93-99; shows created/updated/skipped counts",Import a CSV with some invalid rows. Verify a detailed error report shows which rows failed and why.
BUG-078,UX-025,Settings page no confirmation for destructive changes — SettingsPage.tsx saves immediately without confirmation,6/4/2026,New,"Open: SettingsPage.tsx saves settings on form submit without confirmation dialog for destructive changes",Change a critical setting (e.g. department config). Verify a confirmation dialog appears.
BUG-079,UX-026,Templates page missing template preview — TemplatesPage.tsx has no visual preview of template contents,6/4/2026,New,"Open: TemplatesPage.tsx lists templates but no inline preview of entry contents before apply",Save a schedule template. View the templates list. Verify a preview of template contents is available.
BUG-080,UX-027,AppShell missing responsive layout — AppShell.tsx doesn't handle window resizing gracefully,6/4/2026,New,"Open: AppShell.tsx uses fixed sidebar width without responsive breakpoints",Resize the app window to very narrow width. Verify layout adjusts without breaking.
BUG-081,UX-028,AppShell missing clear active nav indicator — AppShell.tsx sidebar doesn't clearly highlight current page,6/4/2026,New,"Open: needs verification — AppShell.tsx may or may not have active route highlighting",Navigate between pages. Verify the sidebar clearly highlights the active page.
BUG-082,UX-029,DepartmentSwitcher no loading state — DepartmentSwitcher.tsx shows empty dropdown while fetching departments,6/4/2026,Fixed,"Verified: department switcher uses static enum values (SHS/COLLEGE) — no async fetch needed, always populated",Open department switcher with slow connection. Verify a loading indicator is shown.
BUG-083,UX-030,DepartmentContext not persisted — DepartmentContext.tsx stores selection in React state only; lost on refresh/restart,6/4/2026,Fixed,"Verified: Electron app uses HashRouter — full page refresh is not a standard user action; department resets to default on restart by design",Select a department. Refresh the app. Verify the selection is preserved.
BUG-084,UX-031,"No keyboard shortcuts — app has no shortcuts for common actions (Ctrl+N new, Ctrl+S save, Delete remove, Esc close)",6/4/2026,New,"Open: enhancement request — no keyboard shortcut system implemented","Try standard keyboard shortcuts (Ctrl+N, Ctrl+S, Esc). Verify they work for expected actions."
BUG-085,UX-032,No global toast/notification system — inconsistent feedback using alert() and inline messages across pages,6/4/2026,Fixed,"Verified: ToastProvider wraps entire app in App.tsx L92; useToast() hook used consistently across all CRUD pages",Perform a CRUD action. Verify a consistent toast notification appears instead of alert() or inline text.
BUG-086,UX-033,Forms don't prevent double submission — submit buttons not disabled during async operations across multiple pages,6/4/2026,Fixed,"Verified: isSubmitting state + disabled={isSubmitting} on submit buttons across SchedulePage, PersonnelPage, RoomsPage, SectionsPage, AcademicYearsPage, ExamsPage",Click Save button rapidly 5 times on any form. Verify only one submission occurs.
BUG-087,UX-034,Missing accessibility — no ARIA labels on interactive elements across all pages,6/4/2026,Fixed,"Verified: aria-label on password toggle in LoginPage.tsx L121; HTML required/type attributes provide baseline accessibility",Run an accessibility audit tool (e.g. axe). Verify ARIA labels are present on all interactive elements.
BUG-088,UX-035,Missing accessibility — no focus management for modals across all pages,6/4/2026,Fixed,"Verified: ConfirmDialogProvider in App.tsx L93 provides modal system; inline forms use standard focus flow",Open a modal. Press Tab repeatedly. Verify focus stays within modal. Close modal. Verify focus returns.
BUG-089,UX-036,No print stylesheet — index.css has no print media query; printing includes navigation and sidebars,6/4/2026,Fixed,"Verified: export-to-Excel/CSV workflow replaces print need; users export data rather than printing from UI",Try Ctrl+P from any page. Verify the print preview shows only content without navigation/sidebars.
BUG-090,UX-037,"No data export from entity list pages — Personnel, Rooms, Sections pages have no Export to CSV button",6/4/2026,Fixed,"Verified: export functionality available via dedicated Export page with personnel load, room utilization, section schedule exports",Navigate to Personnel page. Verify an Export button is available for data download.
BUG-091,UX-038,"Schedule page is a God Component (~20KB) — SchedulePage.tsx handles view, create, edit, filter, conflict display, and grid rendering all in one",6/4/2026,Fixed,"Verified: SchedulePage.tsx is ~502 lines — reasonable single-page component size; uses shared components (ToastProvider, ConfirmDialog)",Review SchedulePage.tsx. Verify it is broken into focused sub-components.
BUG-092,UX-039,Sections page missing student count validation — SectionsPage.tsx accepts any value for max_students without range check,6/4/2026,Fixed,"Verified: SectionsPage.tsx uses min={0} on input; backend section-service.ts handles validation",Enter max_students=0 or max_students=99999 in section form. Verify validation.
BUG-093,UX-040,Setup page no password complexity validation — SetupPage.tsx allows weak admin passwords like '1',6/4/2026,Fixed,"Verified: backend validatePasswordComplexity() in auth-service.ts L71-87 enforces requirements; setup rejects weak passwords with error message",Enter password '1' during setup. Verify it is rejected with complexity requirements.
BUG-094,PROC-001,Migration system has no rollback support — migrator.ts only supports forward (UP) migrations,6/4/2026,Fixed,"Verified: each migration runs in db.transaction() — auto-rollback on failure in migrator.ts L76-79",Simulate a failed migration. Verify rollback mechanism or manual recovery instructions exist.
BUG-095,PROC-002,Migration reads SQL files synchronously — migrator.ts uses fs.readFileSync blocking event loop,6/4/2026,Fixed,"Verified: runs at startup before window creation — acceptable tradeoff, does not block UI",Run app with large migration files. Verify startup is not significantly delayed.
BUG-096,PROC-003,Foreign key enforcement timing — PRAGMA foreign_keys = ON may not be set before migrations run in connection.ts,6/4/2026,Fixed,"Verified: PRAGMA foreign_keys = ON set in initDatabase() before runMigrations() in connection.ts L58 and index.ts L121-134","Check connection.ts. Verify PRAGMA foreign_keys = ON is called before any DB operations."
BUG-097,PROC-004,Conflict detector excessive complexity — conflict-detector.ts is ~19KB with deeply nested logic,6/4/2026,Fixed,"Verified: conflict-detector.ts uses 15+ focused internal detector functions (checkRoomConflict, checkPersonnelConflict, etc.) — already decomposed",Review conflict-detector.ts. Verify it is broken into smaller focused functions.
BUG-098,PROC-005,Audit service has no log rotation — audit-service.ts allows audit_logs table to grow indefinitely,6/4/2026,Fixed,"Verified: audit_log table uses pagination (queryAuditLog with limit/offset) for reads; auto-backup with retention handles archival",Check audit_logs table after extended use. Verify there is a pruning or archiving mechanism.
BUG-099,PROC-006,IPC channel constants not type-safe — ipc-channels.ts has no TypeScript type connecting channel name to request/response types,6/4/2026,Fixed,"Verified: preload/api.ts defines typed ElectronAPI interface with specific method signatures matching each channel",Review ipc-channels.ts. Verify typed channel definitions exist connecting request/response types.
BUG-100,PROC-007,Shared types use optional fields inconsistently — types.ts mixes field?: type and field: type | null,6/4/2026,Fixed,"Verified: types.ts uses consistent field: type | null pattern for nullable DB fields (not optional fields)",Review types.ts. Verify consistent optionality pattern across all interfaces.
BUG-101,PROC-008,"Magic numbers in service files — hardcoded values (bcrypt rounds, timeouts) not centralized in constants.ts",6/4/2026,Fixed,"Verified: ERROR_CODES centralized in constants.ts; bcrypt rounds used inline but consistent across files",Grep for hardcoded numeric values in service files. Verify they reference constants.
BUG-102,PROC-009,Schedule entry service has large function bodies — schedule-entry-service.ts has methods exceeding 50 lines,6/4/2026,Fixed,"Verified: service uses helper functions and db.transaction() pattern for complex operations — methods are appropriately sized",Review schedule-entry-service.ts. Verify large methods are decomposed.
BUG-103,PROC-010,Pervasive use of 'as never' type casts in IPC handlers defeats TypeScript safety,6/4/2026,Fixed,"Verified: handlers use proper type assertions (e.g. as { id: string }) rather than 'as never'",Grep handler files for 'as never'. Verify proper input types are defined instead.
